id,time,temp1,temp2,humid1,humid2,airquality
186,2024-11-10 15:48:20,28.5,28.5,95.0,94.0,34.5
187,2024-11-10 15:48:20,28.5,28.5,95.0,94.0,34.5
188,2024-11-10 15:48:20,28.5,28.5,95.0,94.0,34.5
189,2024-11-10 15:48:20,28.5,28.5,95.0,94.0,34.4
190,2024-11-10 15:48:20,28.5,28.5,95.0,94.0,34.4
191,2024-11-10 15:48:24,28.5,28.5,95.0,94.0,34.4
192,2024-11-10 15:48:24,28.5,28.5,95.0,94.0,34.4
193,2024-11-10 15:48:24,28.5,28.5,95.0,94.0,34.4
194,2024-11-10 15:48:24,28.5,28.5,95.0,94.0,34.4
195,2024-11-10 15:48:25,28.5,28.5,95.0,94.0,34.4
196,2024-11-10 15:48:25,28.5,28.5,95.0,94.0,34.4
197,2024-11-10 15:48:25,28.5,28.5,95.0,94.0,34.4
198,2024-11-10 15:48:25,28.5,28.5,95.0,94.0,34.4
199,2024-11-10 15:48:25,28.5,28.5,95.0,94.0,35.0
200,2024-11-10 15:48:25,28.5,28.5,95.0,94.0,35.0
201,2024-11-10 15:48:29,28.5,28.5,95.0,94.0,35.0
202,2024-11-10 15:48:29,28.5,28.5,95.0,94.0,35.0
203,2024-11-10 15:48:29,28.5,28.5,95.0,94.0,35.0
204,2024-11-10 15:48:29,28.5,28.5,95.0,94.0,35.0
205,2024-11-10 15:48:30,28.5,28.5,95.0,94.0,35.0
206,2024-11-10 15:48:30,28.5,28.5,95.0,94.0,35.0
207,2024-11-10 15:48:30,28.5,28.5,95.0,94.0,35.0
208,2024-11-10 15:48:30,28.5,28.5,95.0,94.0,35.0
209,2024-11-10 15:48:30,28.5,28.5,95.0,94.0,35.0
210,2024-11-10 15:48:30,28.5,28.5,95.0,94.0,35.0
211,2024-11-10 15:48:34,28.5,28.5,95.0,94.0,35.0
212,2024-11-10 15:48:34,28.5,28.5,95.0,94.0,35.0
213,2024-11-10 15:48:34,28.5,28.5,95.0,94.0,35.0
214,2024-11-10 15:48:34,28.5,28.5,95.0,94.0,35.0
215,2024-11-10 15:48:35,28.5,28.5,95.0,94.0,35.0
216,2024-11-10 15:48:35,28.5,28.5,95.0,94.0,35.0
217,2024-11-10 15:48:35,28.5,28.5,95.0,94.0,35.0
218,2024-11-10 15:48:35,28.5,28.5,95.0,94.0,35.0
219,2024-11-10 15:48:35,28.5,28.5,95.0,94.0,34.6
220,2024-11-10 15:48:35,28.5,28.5,95.0,94.0,34.6
221,2024-11-10 15:48:39,28.5,28.5,95.0,94.0,34.6
222,2024-11-10 15:48:39,28.5,28.5,95.0,94.0,34.6
223,2024-11-10 15:48:39,28.5,28.5,95.0,94.0,34.6
224,2024-11-10 15:48:39,28.5,28.5,95.0,94.0,34.6
225,2024-11-10 15:48:40,28.5,28.5,95.0,94.0,34.6
226,2024-11-10 15:48:40,28.5,28.5,95.0,94.0,34.6
227,2024-11-10 15:48:40,28.5,28.5,95.0,94.0,34.6
228,2024-11-10 15:48:40,28.5,28.5,95.0,94.0,34.6
229,2024-11-10 15:48:40,28.5,28.5,95.0,94.0,35.2
230,2024-11-10 15:48:40,28.5,28.5,95.0,94.0,35.2
231,2024-11-10 15:48:44,28.5,28.5,95.0,94.0,35.2
232,2024-11-10 15:48:44,28.5,28.5,95.0,94.0,35.2
233,2024-11-10 15:48:45,28.5,28.5,95.0,94.0,35.2
234,2024-11-10 15:48:45,28.5,28.5,95.0,94.0,35.2
235,2024-11-10 15:48:45,28.5,28.5,95.0,94.0,35.2
